neighbourhood,Entire home/apt,Private room,Shared room,Hotel room,price,count
Chaoyang,7242,4294,893,0,463.9825408,12429
Dongcheng,2877,1089,133,0,713.6906563,4099
Haidian,1823,1537,313,0,466.8222162,3673
Fengtai,1691,517,117,0,440.3733333,2325
Yanqing,1276,908,6,0,1198.377169,2190
Xicheng,1283,720,68,0,657.9024626,2071
Miyun,1156,617,10,0,842.9764442,1783
Tongzhou,1223,372,50,0,407.8340426,1645
Changping,835,639,46,0,890.1539474,1520
Shunyi,1102,361,28,0,577.9590879,1491
Huairou,624,710,8,0,1477.431446,1342
Daxing,903,285,22,0,446.2785124,1210
Fangshan,590,260,12,0,674.087007,862
Shijingshan,209,152,9,0,427.327027,370
Mentougou,181,70,2,0,748.4743083,253
Pinggu,130,92,1,0,1086.367713,223
