neighbourhood,Entire home/apt,Hotel room,Private room,Shared room,price,count
Bedford-Stuyvesant,1429,26,2008,75,105.6071227,3538
Williamsburg,1613,6,1868,32,141.8877522,3519
Harlem,863,1,1494,42,121.2558333,2400
Bushwick,617,2,1613,59,85.6093409,2291
Hell's Kitchen,935,54,577,93,214.2947559,1659
Upper West Side,934,12,636,38,211.0691358,1620
East Village,908,0,614,19,189.0863076,1541
Crown Heights,680,0,753,25,114.276406,1458
Upper East Side,914,1,401,44,186.8426471,1360
Midtown,667,83,289,22,287.7615457,1061
East Harlem,425,0,568,43,143.5530888,1036
Greenpoint,508,4,433,24,146.8348813,969
Washington Heights,267,0,577,25,90.40506329,869
Astoria,314,1,498,19,112.6502404,832
Chelsea,555,23,232,13,247.3244228,823
Lower East Side,419,3,335,39,192.8165829,796
West Village,489,2,103,4,271.090301,598
Flatbush,216,0,322,18,92.64028777,556
Financial District,409,17,119,8,250.6600362,553
Clinton Hill,291,0,207,9,183.9309665,507
Long Island City,182,13,262,14,121.7006369,471
Prospect-Lefferts Gardens,224,0,227,16,111.0449679,467
East Flatbush,168,0,266,19,107.2494481,453
Park Slope,302,1,127,1,174.4222738,431
Flushing,101,0,299,16,94.12019231,416
Fort Greene,236,0,164,8,150.1985294,408
Ridgewood,120,0,278,3,78.30174564,401
Sunset Park,154,0,198,16,107.6494565,368
Murray Hill,282,4,66,8,239.1472222,360
Kips Bay,230,1,113,15,223.8718663,359
Sunnyside,110,0,204,22,83.50297619,336
Chinatown,174,4,151,1,184.8363636,330
Prospect Heights,181,0,139,0,147.89375,320
Greenwich Village,225,2,84,4,279.4190476,315
SoHo,196,11,100,1,277.5227273,308
Morningside Heights,120,0,169,4,114.4846416,293
Ditmars Steinway,106,0,177,2,97.3754386,285
Gramercy,175,2,83,4,241.3371212,264
South Slope,173,0,80,1,152.6338583,254
Nolita,159,0,89,3,209.6175299,251
Theater District,125,66,58,1,435.288,250
Elmhurst,53,0,174,14,77.73443983,241
Woodside,56,3,177,1,82.13924051,237
Inwood,90,0,135,5,90.57826087,230
Jamaica,80,12,119,5,96.31481481,216
East New York,95,0,110,7,85.22641509,212
Carroll Gardens,159,0,49,0,180.7836538,208
Gowanus,115,8,81,1,164.5268293,205
East Elmhurst,62,0,122,10,79.46907216,194
Jackson Heights,53,0,107,14,79.87356322,174
Kensington,66,0,92,4,94.22222222,162
Boerum Hill,112,0,35,2,181.7114094,149
Sheepshead Bay,51,0,78,14,106.006993,143
Bay Ridge,61,0,75,4,146.2642857,140
Windsor Terrace,100,0,38,0,140.0942029,138
Canarsie,72,0,64,1,109.0291971,137
Cypress Hills,46,0,77,6,121.1085271,129
Borough Park,19,0,92,12,62.51219512,123
Forest Hills,41,0,74,8,126.195122,123
Tribeca,89,3,31,0,498.7073171,123
Brooklyn Heights,94,3,24,0,213.4132231,121
Little Italy,68,0,37,4,249.9541284,109
Maspeth,40,0,67,2,88.97247706,109
Midwood,41,0,53,8,82.38235294,102
