Date,avg_price,median_price
2020-02-28T00:00:00.000000000,123.2737892,85
2020-02-29T00:00:00.000000000,123.4640719,85
2020-03-01T00:00:00.000000000,122.3386826,85
2020-03-02T00:00:00.000000000,123.5114976,85
2020-03-03T00:00:00.000000000,123.3471416,85
2020-03-04T00:00:00.000000000,122.9212423,85
2020-03-05T00:00:00.000000000,122.6543395,85
2020-03-06T00:00:00.000000000,123.6776553,85
2020-03-07T00:00:00.000000000,123.6467049,85
2020-03-08T00:00:00.000000000,121.5637788,85
2020-03-09T00:00:00.000000000,121.8552648,85
2020-03-10T00:00:00.000000000,122.1114029,85
2020-03-11T00:00:00.000000000,122.2536035,85
2020-03-12T00:00:00.000000000,122.4266628,85
2020-03-13T00:00:00.000000000,123.6214805,85
2020-03-14T00:00:00.000000000,123.8999878,85
2020-03-15T00:00:00.000000000,121.8853448,85
2020-03-16T00:00:00.000000000,122.1502168,85
2020-03-17T00:00:00.000000000,122.4753558,85
2020-03-18T00:00:00.000000000,122.6571642,85
2020-03-19T00:00:00.000000000,122.7590545,85
2020-03-20T00:00:00.000000000,123.8899102,85
2020-03-21T00:00:00.000000000,124.0781622,85
2020-03-22T00:00:00.000000000,122.215095,85
2020-03-23T00:00:00.000000000,122.5239724,85
2020-03-24T00:00:00.000000000,122.9555366,85
2020-03-25T00:00:00.000000000,123.2974867,85
2020-03-26T00:00:00.000000000,123.3103432,85
2020-03-27T00:00:00.000000000,124.3985372,86
2020-03-28T00:00:00.000000000,124.5528767,86
2020-03-29T00:00:00.000000000,122.7705674,85
2020-03-30T00:00:00.000000000,123.1509497,85
2020-03-31T00:00:00.000000000,123.3752367,85
2020-04-01T00:00:00.000000000,124.3472638,85
2020-04-02T00:00:00.000000000,124.2807977,85
2020-04-03T00:00:00.000000000,125.5378825,86
2020-04-04T00:00:00.000000000,126.1955964,86
2020-04-05T00:00:00.000000000,124.2458926,85
2020-04-06T00:00:00.000000000,124.0874305,85
2020-04-07T00:00:00.000000000,124.2903866,85
2020-04-08T00:00:00.000000000,124.2765376,85
2020-04-09T00:00:00.000000000,124.6295731,85
2020-04-10T00:00:00.000000000,126.0190863,86
2020-04-11T00:00:00.000000000,126.3947658,86
2020-04-12T00:00:00.000000000,124.4873114,85
2020-04-13T00:00:00.000000000,124.2794692,85
2020-04-14T00:00:00.000000000,124.7129268,85
2020-04-15T00:00:00.000000000,124.4671563,85
2020-04-16T00:00:00.000000000,124.5941642,85
2020-04-17T00:00:00.000000000,125.8298418,86
2020-04-18T00:00:00.000000000,125.925426,86
2020-04-19T00:00:00.000000000,123.8090301,85
2020-04-20T00:00:00.000000000,124.0726043,85
2020-04-21T00:00:00.000000000,124.2254779,85
2020-04-22T00:00:00.000000000,124.2875771,85
2020-04-23T00:00:00.000000000,124.3616625,85
2020-04-24T00:00:00.000000000,125.5708331,86
2020-04-25T00:00:00.000000000,125.7143773,86
2020-04-26T00:00:00.000000000,123.962148,85
2020-04-27T00:00:00.000000000,124.2024522,85
2020-04-28T00:00:00.000000000,124.3424388,85
2020-04-29T00:00:00.000000000,124.3614182,85
2020-04-30T00:00:00.000000000,124.5031912,85
2020-05-01T00:00:00.000000000,126.2878214,87
2020-05-02T00:00:00.000000000,126.3689916,87
2020-05-03T00:00:00.000000000,124.3733738,85
2020-05-04T00:00:00.000000000,124.6199078,85
2020-05-05T00:00:00.000000000,124.8209705,85
2020-05-06T00:00:00.000000000,124.8479356,85
2020-05-07T00:00:00.000000000,124.8931778,85
2020-05-08T00:00:00.000000000,126.2743083,87
2020-05-09T00:00:00.000000000,126.3661516,87
2020-05-10T00:00:00.000000000,124.3429732,85
2020-05-11T00:00:00.000000000,124.8569749,85
2020-05-12T00:00:00.000000000,125.2491449,85
2020-05-13T00:00:00.000000000,125.3660905,85
2020-05-14T00:00:00.000000000,125.3946589,85
2020-05-15T00:00:00.000000000,126.4818756,87
2020-05-16T00:00:00.000000000,126.7490533,88
2020-05-17T00:00:00.000000000,125.1895957,85
2020-05-18T00:00:00.000000000,126.2110639,85
2020-05-19T00:00:00.000000000,126.8196268,85
2020-05-20T00:00:00.000000000,127.2250504,85
2020-05-21T00:00:00.000000000,127.174006,85
2020-05-22T00:00:00.000000000,128.3006627,88
2020-05-23T00:00:00.000000000,128.286264,88
2020-05-24T00:00:00.000000000,126.6363678,85
2020-05-25T00:00:00.000000000,127.2018262,85
2020-05-26T00:00:00.000000000,127.4685305,85
2020-05-27T00:00:00.000000000,127.4527271,85
2020-05-28T00:00:00.000000000,127.631894,85
2020-05-29T00:00:00.000000000,128.6975356,88
2020-05-30T00:00:00.000000000,128.8751603,88
2020-05-31T00:00:00.000000000,127.1684939,85
2020-06-01T00:00:00.000000000,127.6185794,85
2020-06-02T00:00:00.000000000,128.4340072,85
2020-06-03T00:00:00.000000000,128.5928816,85
2020-06-04T00:00:00.000000000,128.4541776,85
2020-06-05T00:00:00.000000000,129.5610762,88
2020-06-06T00:00:00.000000000,129.7203781,88
2020-06-07T00:00:00.000000000,127.3232761,85
2020-06-08T00:00:00.000000000,128.1050357,85
2020-06-09T00:00:00.000000000,128.6678678,85
2020-06-10T00:00:00.000000000,128.8000977,85
2020-06-11T00:00:00.000000000,128.7953032,85
2020-06-12T00:00:00.000000000,129.5914768,88
2020-06-13T00:00:00.000000000,129.3951017,88
2020-06-14T00:00:00.000000000,127.445062,85
2020-06-15T00:00:00.000000000,127.8226196,85
2020-06-16T00:00:00.000000000,128.3433855,85
2020-06-17T00:00:00.000000000,128.5943016,85
2020-06-18T00:00:00.000000000,128.6310542,85
2020-06-19T00:00:00.000000000,129.6492396,88
2020-06-20T00:00:00.000000000,129.6842362,88
2020-06-21T00:00:00.000000000,127.8587003,85
2020-06-22T00:00:00.000000000,128.5061992,85
2020-06-23T00:00:00.000000000,130.1915196,85
2020-06-24T00:00:00.000000000,130.238136,85
2020-06-25T00:00:00.000000000,130.203521,85
2020-06-26T00:00:00.000000000,130.8818787,88
2020-06-27T00:00:00.000000000,130.968729,88
2020-06-28T00:00:00.000000000,128.3094882,85
2020-06-29T00:00:00.000000000,127.919013,85
2020-06-30T00:00:00.000000000,128.1846638,85
2020-07-01T00:00:00.000000000,127.7739724,85
2020-07-02T00:00:00.000000000,127.6765101,85
2020-07-03T00:00:00.000000000,128.6037226,87
2020-07-04T00:00:00.000000000,128.6980242,87
2020-07-05T00:00:00.000000000,127.2333415,85
2020-07-06T00:00:00.000000000,127.5419135,85
2020-07-07T00:00:00.000000000,127.5458377,85
2020-07-08T00:00:00.000000000,127.6040585,85
2020-07-09T00:00:00.000000000,127.02043,85
2020-07-10T00:00:00.000000000,127.5090698,86
2020-07-11T00:00:00.000000000,127.3618457,86
2020-07-12T00:00:00.000000000,125.6676999,85
2020-07-13T00:00:00.000000000,125.9631711,85
2020-07-14T00:00:00.000000000,125.9617511,85
2020-07-15T00:00:00.000000000,125.6843584,85
2020-07-16T00:00:00.000000000,125.3297807,85
2020-07-17T00:00:00.000000000,126.4010872,86
2020-07-18T00:00:00.000000000,126.4788066,86
2020-07-19T00:00:00.000000000,124.8324834,85
2020-07-20T00:00:00.000000000,124.7516491,85
2020-07-21T00:00:00.000000000,124.8365297,85
2020-07-22T00:00:00.000000000,124.8412325,85
2020-07-23T00:00:00.000000000,124.8628535,85
2020-07-24T00:00:00.000000000,126.0032981,86
2020-07-25T00:00:00.000000000,126.0414707,86
2020-07-26T00:00:00.000000000,124.3379955,85
2020-07-27T00:00:00.000000000,124.3765803,85
2020-07-28T00:00:00.000000000,124.464698,85
2020-07-29T00:00:00.000000000,124.4262963,85
2020-07-30T00:00:00.000000000,124.547731,85
2020-07-31T00:00:00.000000000,125.6848317,86
2020-08-01T00:00:00.000000000,124.6166097,85
2020-08-02T00:00:00.000000000,122.9605753,85
2020-08-03T00:00:00.000000000,123.1055701,85
2020-08-04T00:00:00.000000000,123.2072925,85
2020-08-05T00:00:00.000000000,123.1777622,85
2020-08-06T00:00:00.000000000,123.233372,85
2020-08-07T00:00:00.000000000,124.4160814,85
2020-08-08T00:00:00.000000000,124.4818756,85
2020-08-09T00:00:00.000000000,122.9385879,85
2020-08-10T00:00:00.000000000,123.0656874,85
2020-08-11T00:00:00.000000000,123.1469645,85
2020-08-12T00:00:00.000000000,123.1429946,85
2020-08-13T00:00:00.000000000,123.201246,85
2020-08-14T00:00:00.000000000,124.4397484,85
2020-08-15T00:00:00.000000000,124.492167,85
2020-08-16T00:00:00.000000000,122.9011482,85
2020-08-17T00:00:00.000000000,123.0658554,85
2020-08-18T00:00:00.000000000,123.2013528,85
2020-08-19T00:00:00.000000000,123.2212637,85
2020-08-20T00:00:00.000000000,123.3124046,85
2020-08-21T00:00:00.000000000,124.5157118,85
2020-08-22T00:00:00.000000000,124.575765,85
2020-08-23T00:00:00.000000000,123.0605265,85
2020-08-24T00:00:00.000000000,123.2740793,85
2020-08-25T00:00:00.000000000,123.4227692,85
2020-08-26T00:00:00.000000000,123.4287699,85
2020-08-27T00:00:00.000000000,123.4965492,85
2020-08-28T00:00:00.000000000,124.6761742,85
2020-08-29T00:00:00.000000000,124.9014231,85
2020-08-30T00:00:00.000000000,123.2949521,85
2020-08-31T00:00:00.000000000,124.0281866,85
2020-09-01T00:00:00.000000000,125.7752397,85
2020-09-02T00:00:00.000000000,125.9126916,85
2020-09-03T00:00:00.000000000,125.9836621,85
2020-09-04T00:00:00.000000000,127.4620717,86
2020-09-05T00:00:00.000000000,127.5605417,86
2020-09-06T00:00:00.000000000,126.2308832,85
2020-09-07T00:00:00.000000000,126.5431961,85
2020-09-08T00:00:00.000000000,126.5916753,85
2020-09-09T00:00:00.000000000,126.7264246,85
2020-09-10T00:00:00.000000000,126.7573444,85
2020-09-11T00:00:00.000000000,127.9234716,87
2020-09-12T00:00:00.000000000,127.9798296,86
2020-09-13T00:00:00.000000000,126.2602608,85
2020-09-14T00:00:00.000000000,126.8147407,85
2020-09-15T00:00:00.000000000,126.9733861,85
2020-09-16T00:00:00.000000000,127.1348714,85
2020-09-17T00:00:00.000000000,127.2789959,85
2020-09-18T00:00:00.000000000,128.46992,87
2020-09-19T00:00:00.000000000,128.3977738,87
2020-09-20T00:00:00.000000000,126.4671563,85
2020-09-21T00:00:00.000000000,127.5491358,85
2020-09-22T00:00:00.000000000,127.5400507,85
2020-09-23T00:00:00.000000000,127.7907225,85
2020-09-24T00:00:00.000000000,127.9653087,85
2020-09-25T00:00:00.000000000,129.4506505,87
2020-09-26T00:00:00.000000000,129.504031,87
2020-09-27T00:00:00.000000000,127.9884871,85
2020-09-28T00:00:00.000000000,129.4723783,85
2020-09-29T00:00:00.000000000,129.410951,85
2020-09-30T00:00:00.000000000,129.3726257,85
2020-10-01T00:00:00.000000000,130.1378642,85
2020-10-02T00:00:00.000000000,131.2872259,87
2020-10-03T00:00:00.000000000,131.2597722,87
2020-10-04T00:00:00.000000000,129.6654248,85
2020-10-05T00:00:00.000000000,129.0511207,85
2020-10-06T00:00:00.000000000,128.3657088,85
2020-10-07T00:00:00.000000000,127.852272,85
2020-10-08T00:00:00.000000000,127.8850089,85
2020-10-09T00:00:00.000000000,129.1239388,87
2020-10-10T00:00:00.000000000,129.1281072,87
2020-10-11T00:00:00.000000000,127.5220485,85
2020-10-12T00:00:00.000000000,127.6240304,85
2020-10-13T00:00:00.000000000,127.546708,85
2020-10-14T00:00:00.000000000,127.6023636,85
2020-10-15T00:00:00.000000000,127.7125298,85
2020-10-16T00:00:00.000000000,128.7933183,87
2020-10-17T00:00:00.000000000,128.7180572,87
2020-10-18T00:00:00.000000000,127.3508826,85
2020-10-19T00:00:00.000000000,127.509818,85
2020-10-20T00:00:00.000000000,127.4293043,85
2020-10-21T00:00:00.000000000,127.4073017,85
2020-10-22T00:00:00.000000000,127.4684236,85
2020-10-23T00:00:00.000000000,128.5780859,86
2020-10-24T00:00:00.000000000,128.5521285,86
2020-10-25T00:00:00.000000000,126.9481158,85
2020-10-26T00:00:00.000000000,127.0278202,85
2020-10-27T00:00:00.000000000,126.8379497,85
2020-10-28T00:00:00.000000000,126.8135497,85
2020-10-29T00:00:00.000000000,126.8064038,85
2020-10-30T00:00:00.000000000,128.3342851,86
2020-10-31T00:00:00.000000000,128.3594179,86
2020-11-01T00:00:00.000000000,125.7670566,85
2020-11-02T00:00:00.000000000,125.7649035,85
2020-11-03T00:00:00.000000000,125.7486715,85
2020-11-04T00:00:00.000000000,125.7449304,85
2020-11-05T00:00:00.000000000,125.8134162,85
2020-11-06T00:00:00.000000000,127.0541674,86
2020-11-07T00:00:00.000000000,131.6408704,90
